Experiment,IAF,Index,Value
1,MEI,42,8.620000000000000
2,MEI,22,0.34
3,MEI,8,4.44
4,MEI,59,3.2
5,MEI,39,4.0
6,MEI,81,1.83
7,MEI,13,6.9
8,MEI,47,6.7
9,MEI,61,3.0
10,MEI,72,4.6
11,MEI,10,8.8
12,MEI,31,7.9
13,MEI,36,9.0
14,MEI,95,15.0
15,MEI,63,13.0
16,MEI,3,7.1
17,MEI,44,4.3
18,MEI,80,5.950000000000000
19,MEI,0,10.0
20,MEI,29,5.0
21,MEI,33,0.066
22,MEI,65,13.0
23,MEI,62,18.0
24,MEI,37,4.1
25,MEI,49,5.7
26,MEI,21,6.3
27,MEI,5,6.0
28,MEI,98,7.2
29,MEI,19,3.7
30,MEI,91,6.0
31,MEI,12,0.28
32,MEI,73,1.87
33,MEI,20,4.55
34,MEI,24,1.26
35,MEI,89,2.0
36,MEI,26,6.06
37,MEI,82,1.1
38,MEI,79,0.07200000000000000
39,MEI,87,1.8
40,MEI,68,3.0
41,MEI,38,0.01
42,MEI,32,5.365
43,MEI,77,4.855
44,MEI,55,6.075
45,MEI,40,4.9350000000000000
46,MEI,53,8.0
47,MEI,51,6.5
48,MEI,69,1.3215
49,MEI,1,2.9
50,MEI,54,1.4
51,MEI,28,0.12
52,MEI,25,3.2
53,MEI,94,2.2
54,MEI,34,0.8
55,MEI,52,1.5
56,MEI,17,1.5
57,MEI,9,1.85
58,MEI,83,0.33
59,MEI,97,0.016
60,MEI,99,0.7
61,MEI,16,0.1705
62,MEI,56,0.968
63,MEI,67,0.282
64,MEI,76,1.2
65,MEI,75,1.8
66,MEI,96,1.2
67,MEI,27,0.7
68,MEI,48,2.3
69,MEI,11,0.01
70,MEI,45,0.022000000000000000
71,MEI,6,0.175
72,MEI,15,0.6
73,MEI,50,0.45
74,MEI,71,0.05
75,MEI,93,1.0
76,MEI,57,0.3
77,MEI,41,0.06345
78,MEI,92,0.32
79,MEI,88,0.14400000000000000
80,MEI,58,0.2
81,MEI,70,0.13
82,MEI,60,0.0571
83,MEI,90,0.08200000000000000
84,MEI,74,0.042
85,MEI,85,0.0421
86,MEI,14,0.325
87,MEI,2,0.0508
88,MEI,78,0.134
89,MEI,64,0.4
90,MEI,23,0.0101
