Experiment,IAF,Index,Value
1,MU,20,4.55
2,MU,68,3.0
3,MU,45,0.022000000000000000
4,MU,92,0.32
5,MU,51,6.5
6,MU,69,1.3215
7,MU,83,0.33
8,MU,36,9.0
9,MU,96,1.2
10,MU,89,2.0
11,MU,61,3.0
12,MU,44,14.3
13,MU,56,0.968
14,MU,90,0.08200000000000000
15,MU,63,13.0
16,MU,19,3.7
17,MU,37,4.1
18,MU,80,5.950000000000000
19,MU,3,7.1
20,MU,0,10.0
21,MU,38,0.01
22,MU,31,7.9
23,MU,73,1.87
24,MU,65,13.0
25,MU,91,6.0
26,MU,29,5.0
27,MU,10,8.8
28,MU,16,0.1705
29,MU,49,5.7
30,MU,95,15.0
31,MU,81,1.83
32,MU,98,7.2
33,MU,62,18.0
