Exp,Random,MEI,MLI,MU,UCB
1,6.0,6.0,6.0,6.0,6.0
2,6.0,6.0,6.0,6.0,6.0
3,6.0,6.0,6.0,6.0,6.0
4,6.0,6.0,6.0,6.0,6.0
5,6.0,6.0,6.0,6.0,6.0
6,6.0,6.0,6.0,6.0,6.0
7,6.0,6.0,6.0,6.0,6.0
8,6.0,6.0,6.0,6.0,6.0
9,6.0,6.0,6.0,6.0,6.0
10,6.0,6.0,6.0,6.0,6.0
11,6.0,6.0,6.0,6.0,6.0
12,6.0,6.0,6.0,6.0,8.620000000000001
13,10.0,8.620000000000001,6.0,6.0,8.620000000000001
14,10.0,8.620000000000001,6.0,6.0,8.620000000000001
15,10.0,8.620000000000001,6.0,6.0,8.620000000000001
16,10.0,8.620000000000001,8.620000000000001,6.0,8.620000000000001
17,10.0,8.620000000000001,8.620000000000001,6.0,14.3
18,10.0,13.0,8.620000000000001,15.0,15.0
19,10.0,13.0,8.620000000000001,15.0,15.0
20,10.0,13.0,8.620000000000001,15.0,15.0
21,10.0,13.0,8.620000000000001,15.0,15.0
22,10.0,13.0,13.0,15.0,15.0
23,10.0,18.0,15.0,15.0,15.0
24,10.0,18.0,15.0,15.0,15.0
25,10.0,18.0,15.0,15.0,18.0
26,10.0,18.0,15.0,15.0,18.0
27,10.0,18.0,15.0,15.0,18.0
28,10.0,18.0,15.0,15.0,18.0
29,10.0,18.0,15.0,15.0,18.0
30,10.0,18.0,15.0,15.0,18.0
31,10.0,18.0,15.0,15.0,18.0
32,10.0,18.0,15.0,15.0,18.0
33,10.0,18.0,15.0,15.0,18.0
34,13.0,18.0,18.0,15.0,18.0
35,13.0,18.0,18.0,18.0,18.0
36,13.0,18.0,18.0,18.0,18.0
37,13.0,18.0,18.0,18.0,18.0
38,13.0,18.0,18.0,18.0,18.0
39,13.0,18.0,18.0,18.0,18.0
40,13.0,18.0,18.0,18.0,18.0
41,13.0,18.0,18.0,18.0,18.0
42,13.0,18.0,18.0,18.0,18.0
43,13.0,18.0,18.0,18.0,18.0
44,15.0,18.0,18.0,18.0,18.0
45,15.0,18.0,18.0,18.0,18.0
46,15.0,18.0,18.0,18.0,18.0
47,15.0,18.0,18.0,18.0,18.0
48,15.0,18.0,18.0,18.0,18.0
49,15.0,18.0,18.0,18.0,18.0
50,15.0,18.0,18.0,18.0,18.0
51,15.0,18.0,18.0,18.0,18.0
52,15.0,18.0,18.0,18.0,18.0
53,15.0,18.0,18.0,18.0,18.0
54,15.0,18.0,18.0,18.0,18.0
55,15.0,18.0,18.0,18.0,18.0
56,15.0,18.0,18.0,18.0,18.0
57,15.0,18.0,18.0,18.0,18.0
58,15.0,18.0,18.0,18.0,18.0
59,15.0,18.0,18.0,18.0,18.0
60,15.0,18.0,18.0,18.0,18.0
61,15.0,18.0,18.0,18.0,18.0
62,15.0,18.0,18.0,18.0,18.0
63,15.0,18.0,18.0,18.0,18.0
64,15.0,18.0,18.0,18.0,18.0
65,15.0,18.0,18.0,18.0,18.0
66,15.0,18.0,18.0,18.0,18.0
67,15.0,18.0,18.0,18.0,18.0
68,18.0,18.0,18.0,18.0,18.0
69,18.0,18.0,18.0,18.0,18.0
70,18.0,18.0,18.0,18.0,18.0
71,18.0,18.0,18.0,18.0,18.0
72,18.0,18.0,18.0,18.0,18.0
73,18.0,18.0,18.0,18.0,18.0
74,18.0,18.0,18.0,18.0,18.0
75,18.0,18.0,18.0,18.0,18.0
76,18.0,18.0,18.0,18.0,18.0
77,18.0,18.0,18.0,18.0,18.0
78,18.0,18.0,18.0,18.0,18.0
79,18.0,18.0,18.0,18.0,18.0
80,18.0,18.0,18.0,18.0,18.0
81,18.0,18.0,18.0,18.0,18.0
82,18.0,18.0,18.0,18.0,18.0
83,18.0,18.0,18.0,18.0,18.0
84,18.0,18.0,18.0,18.0,18.0
85,18.0,18.0,18.0,18.0,18.0
86,18.0,18.0,18.0,18.0,18.0
87,18.0,18.0,18.0,18.0,18.0
88,18.0,18.0,18.0,18.0,18.0
89,18.0,18.0,18.0,18.0,18.0
90,18.0,18.0,18.0,18.0,18.0
91,18.0,18.0,18.0,18.0,18.0
92,18.0,18.0,18.0,18.0,18.0
93,18.0,18.0,18.0,18.0,18.0
94,18.0,18.0,18.0,18.0,18.0
95,18.0,18.0,18.0,18.0,18.0
96,18.0,18.0,18.0,18.0,18.0
97,18.0,18.0,18.0,18.0,18.0
98,18.0,18.0,18.0,18.0,18.0
99,18.0,18.0,18.0,18.0,18.0
